deck,difficultyTier,prompt,option1,option2,option3,option4,correctIndex
ethics,2,"A local tech hub is fine-tuning a foreign Large Language Model (LLM) for Philippine schools. When asked about geopolitical issues like the West Philippine Sea, the foreign base model reflects the political narrative of its foreign creators.",Deploy the cheap foreign model as-is without modification to save on compute costs.,"Invest in building/fine-tuning a sovereign Filipino LLM, trained on Tagalog, regional dialects, and local historical archives.",,,1
ethics,1,"A major IT-BPM center in Metro Manila deploys generative AI to automate 60% of customer service call routes, threatening thousands of entry-level jobs.",Lay off workers immediately to maximize operational profit and cut human payroll costs.,"Partner with TESDA to transition affected agents into AI oversight, prompt engineering, and quality assurance roles.",,,1
ethics,2,"Ahead of Barangay elections, hyper-realistic AI voice clones of political candidates speaking in Tagalog and/or Bisaya are circulating on social media to spread false statements.",Embed digital provenance tags/watermarks and collaborate with COMELEC and local fact-checkers to flag synthetic media.,Ignore the audio clips since social media content moderation is not the AI developer's responsibility.,,,0
ethics,3,"An AI-powered disaster management tool allocates emergency relief goods in Luzon following a severe typhoon. The model relies heavily on smartphone location data, underrepresenting low-income rural communities without internet.",Route relief trucks exclusively based on the smartphone data density map.,Re-weight the algorithm using satellite imagery and local barangay census data to ensure off-grid communities receive equal aid.,,,1
ethics,1,"Under DepEd's national AI literacy rollout, public school students are using AI chatbots for homework. A teacher catches students submitting AI-generated essays without understanding the content.","Implement responsible usage guidelines that mandate citing AI assistance, combined with oral defenses and critical evaluation tasks.",Issue a total ban on all digital devices and AI tools across all classrooms.,,,0
ethics,1,"A government agency builds an AI assistant called ""Itanong"" to help Filipinos apply for permits and social welfare benefits. The initial version only processes formal English.","Delay full deployment to train the model in Taglish, Cebuano, Ilocano, and other regional languages.",Launch the English-only version nationwide to meet the project deadline quickly.,,,0
ethics,2,An Agri-tech AI advises local rice farmers on crop pricing and fertilizer schedules. The model was trained exclusively on corporate mega-farm datasets and recommends expensive chemical inputs smallholders cannot afford.,"Re-train the system with organic, low-cost inputs suited for small-scale Filipino agricultural conditions.",Market the tool as-is to smallholder farmers without modification.,,,0
ethics,2,A Philippine fintech app uses machine learning to grant micro-loans based on mobile data usage patterns. The algorithm automatically denies loans to residents of specific low-income postal codes.,Remove redlining variables (like zip code) and audit the algorithm to evaluate individual repayment history fairly.,Keep the geographic filtering because it correlates with higher default risk in historical data.,,,0
ethics,1,An online platform sees a surge in non-consensual deepfake image generation targeting female students and public figures.,Treat it as a freedom-of-expression issue and rely on user reporting.,"Implement automated safety filters, enforce strict account verification, and immediately report violations under local child protection and safe space laws.",,,1
ethics,2,A foreign AI corporation offers free infrastructure to a local university in exchange for unanonymized access to Philippine medical records for proprietary model training.,"Reject the offer until strict data sovereignty, anonymization protocols, and local ownership terms are established under the Data Privacy Act.",Accept the deal to gain free advanced cloud infrastructure immediately.,,,0
ethics,1,Global tech giants outsource brutal content moderation work (flagging graphic violence/abuse) to low-wage Filipino gig workers suffering from severe trauma.,Increase daily review quotas to maximize platform safety metrics at low operational costs.,"Enforce mandatory psychological therapy, limit exposure hours, and provide fair hazard pay.",,,1
ethics,2,An AI traffic control system in Metro Manila prioritizes private passenger cars over jeepneys and buses to clear high-income highway corridors.,"Re-optimize the objective function to prioritize passenger volume, giving dedicated signal priority to public transportation.",Keep the algorithm configured to maximize private vehicle speed.,,,0
ethics,3,Rural health units (RHUs) in remote islands test an AI diagnostic tool for tuberculosis. The system has high accuracy but requires continuous high-speed internet to operate.,Deploy the cloud tool only in wealthy urban centers with fast 5G connectivity.,Compress the model so it can run offline on low-cost edge hardware in off-grid rural clinics.,,,1
ethics,2,A local game studio trains an AI art generator by scraping thousands of original illustrations made by independent Filipino artists on social media without permission.,Claim fair use and commercialize the tool without compensating the artists.,Build an opt-in system that compensates local artists with royalties when their work is included in training sets.,,,1
ethics,1,"A Philippine BPO firm installs continuous webcam monitoring and keystroke AI to grade remote employees' ""attentiveness"" minute-by-minute.",Replace invasive tracking with milestone-based performance evaluations and clear data collection consent.,Keep strict hidden surveillance to ensure maximum hourly output.,,,0
ethics,1,"During a major typhoon, an e-commerce platform's dynamic pricing algorithm automatically quadruples the prices of flashlights, batteries, and canned goods due to high demand.",Allow dynamic pricing to continue to maximize vendor margins.,Program emergency price-freeze caps into the algorithm whenever national disaster states are declared.,,,1
ethics,3,Researchers develop an AI medical database using genetic and ethnobotanical data gathered from indigenous communities in the Cordilleras.,Publish the dataset openly to accelerate global pharmaceutical research.,"Secure Free, Prior, and Informed Consent (FPIC) and establish benefit-sharing agreements with indigenous leaders.",,,1
ethics,2,"A highly urbanized city in Metro Manila installs facial recognition cameras in public parks, storing citizens' biometric data indefinitely without public consultation.","Conduct public hearings, implement strict data retention limits, and mandate independent privacy audits.",Expand the network quietly to maintain high public security statistics.,,,0
ethics,1,"A local news site replaces human reporters with AI tools that draft news articles from social media posts, resulting in published fake news stories during a crisis.",Publish AI articles automatically to beat rival news outlets in speed.,Enforce a mandatory human-in-the-loop policy where human editors verify factual accuracy before publication.,,,1
ethics,2,"Building a massive new AI data center in Luzon threatens to drain local electricity grids during summer brownouts, raising energy costs for surrounding communities.",Mandate that AI facility operators invest in dedicated renewable energy infrastructure (solar/geothermal) to power their data centers independently.,Prioritize full power supply to data centers to maximize AI computing speed.,,,0
math,1,"Compute the dot product of the vectors (1, 2, 3) and (4, 5, 6).",28,30,32,36,2
math,1,What is the derivative of f(x) = x^3?,2x^2,3x^2,x^2,3x,1
math,1,Matrix A has dimensions 2x3 and matrix B has dimensions 3x4. What are the dimensions of AB?,2x4,3x3,4x2,2x3,0
math,1,"In gradient descent, what typically happens if the learning rate is set too high?",Converges faster to the minimum,May overshoot and fail to converge,No effect on convergence,Gradient becomes zero,1
math,1,"What is the derivative of the sigmoid function sigma(x), expressed in terms of sigma(x) itself?",sigma(x) * (1 - sigma(x)),1 - sigma(x),sigma(x)^2,ln(sigma(x)),0
math,1,Which operation best describes what a weight matrix does to an input vector in a neural network layer?,A linear transformation (matrix-vector multiplication),Element-wise addition only,A random permutation,Sorting the input values,0
math,2,"Find the eigenvalues of the matrix [[2, 0], [0, 3]].",1 and 2,2 and 3,0 and 5,3 and 3,1
math,2,"For f(x, y) = x^2*y + y^3, find the partial derivative df/dx.",2xy,x^2 + 3y^2,2xy + 3y^2,x^2 * y,0
math,2,"Using the chain rule, what is d/dx[sigma(wx + b)], in terms of sigma'?",sigma'(wx + b),w * sigma'(wx + b),sigma'(wx + b) + w,w + b,1
math,2,"What is the magnitude (L2 norm) of the vector (3, 4)?",5,7,12,25,0
math,2,"In a softmax output layer, what must be true of the resulting values?",They sum to 0,They sum to 1 and are all non-negative,They are all equal,They can be negative,1
math,2,"If A is a matrix, what does (A^T)^T equal?",A^-1,A^T,A,The zero matrix,2
math,3,"For f(x, y) = x^2 + y^2, what is the gradient vector, grad(f), at the point (1, 2)?","(1, 2)","(2, 4)","(4, 2)","(2, 2)",1
math,3,What does the Jacobian matrix represent for a vector-valued function f: R^n -> R^m?,A single scalar derivative,The matrix of all first-order partial derivatives,The determinant of the function,The eigenvalues of the function,1
math,3,A function's Hessian matrix is positive definite at a critical point. What does this indicate about that point?,It is a local maximum,It is a saddle point,It is a local minimum,The function is undefined there,2
math,3,"In Principal Component Analysis (PCA), the principal components correspond to which of the following?","The eigenvectors of the covariance matrix, ordered by eigenvalue",Random projections of the data,The mean of each feature,The rows of the original data matrix,0
math,3,"Using the multivariable chain rule, if a loss L depends on y which depends on weight w, how is dL/dw computed during backpropagation?",dL/dw = dL/dy,dL/dw = dy/dw only,dL/dw = (dL/dy) * (dy/dw),dL/dw = dL/dy + dy/dw,2
math,3,What does it mean for a matrix to be 'singular'?,It has a non-zero determinant,It is symmetric,It has a determinant of zero and no inverse,It is the identity matrix,2
